Drug	Sample	Efficacy	Measurement	Value
Cephalexin	ipn02.3	NA	TAUC	491.7313768
Dehydroepiandrosterone	ipn02.3	NA	TAUC	513.2356766
Doxifluridine	ipn02.3	NA	TAUC	520.1816995
Idarubicin hydrochloride	ipn02.3	NA	TAUC	316.0293761
Metolazone	ipn02.3	NA	TAUC	510.7270085
Mizoribine	ipn02.3	NA	TAUC	533.9216928
BIO	ipn02.3	NA	TAUC	463.3718688
Masoprocol	ipn02.3	NA	TAUC	527.4716547
Piceatannol	ipn02.3	NA	TAUC	537.2064558
Isotretinoin	ipn02.3	NA	TAUC	429.8784894
Seliciclib	ipn02.3	NA	TAUC	518.395294
TPCK	ipn02.3	NA	TAUC	494.2157143
Pyrantel pamoate	ipn02.3	NA	TAUC	529.3352362
Crotamiton	ipn02.3	NA	TAUC	519.4895156
Tolterodine tartrate	ipn02.3	NA	TAUC	494.6094688
Allopurinol	ipn02.3	NA	TAUC	498.5169347
6-mercaptopurine	ipn02.3	NA	TAUC	383.2760536
Polymyxin B sulphate	ipn02.3	NA	TAUC	507.1451524
Tioguanine	ipn02.3	NA	TAUC	371.9696442
Warfarin sodium	ipn02.3	NA	TAUC	489.2742669
Hexestrol	ipn02.3	NA	TAUC	465.467774
Piperine	ipn02.3	NA	TAUC	514.2127663
Fumalic acid	ipn02.3	NA	TAUC	514.3187994
Flunisolide	ipn02.3	NA	TAUC	484.1130318
Mefloquine	ipn02.3	NA	TAUC	461.5641072
Tioxolone	ipn02.3	NA	TAUC	511.8436279
Ethisterone	ipn02.3	NA	TAUC	521.1214007
ThioTEPA	ipn02.3	NA	TAUC	559.6554197
Salinomycin	ipn02.3	NA	TAUC	438.3331277
Fluconazole	ipn02.3	NA	TAUC	528.4246949
Sildenafil citrate	ipn02.3	NA	TAUC	484.2044228
Gliclazide	ipn02.3	NA	TAUC	498.924064
Venlafaxine hydrochloride	ipn02.3	NA	TAUC	504.4441722
Avobenzone	ipn02.3	NA	TAUC	426.4581302
Rofecoxib	ipn02.3	NA	TAUC	510.4732558
Rosiglitazone	ipn02.3	NA	TAUC	537.9335795
Orlistat	ipn02.3	NA	TAUC	483.627667
Famciclovir	ipn02.3	NA	TAUC	525.5857205
Ezetimibe	ipn02.3	NA	TAUC	498.6650322
Almotriptan	ipn02.3	NA	TAUC	507.6562189
Cantharidin	ipn02.3	NA	TAUC	455.2624392
Telmisartan	ipn02.3	NA	TAUC	499.834355
Alfuzosin hydrochloride	ipn02.3	NA	TAUC	486.6193457
Oxfendazole	ipn02.3	NA	TAUC	457.1112451
Secnidazole	ipn02.3	NA	TAUC	509.9400177
Rebamipide	ipn02.3	NA	TAUC	492.0000968
Protionamide	ipn02.3	NA	TAUC	489.0416299
Carmofur	ipn02.3	NA	TAUC	528.3810421
Pantoprazole	ipn02.3	NA	TAUC	484.3453168
Tegaserod maleate	ipn02.3	NA	TAUC	415.0848437
Testosterone propionate	ipn02.3	NA	TAUC	499.3670003
Chloroxine	ipn02.3	NA	TAUC	514.2536149
Coenzyme Q10	ipn02.3	NA	TAUC	489.7411751
Diindolylmethane	ipn02.3	NA	TAUC	460.173678
Hematoxylin	ipn02.3	NA	TAUC	529.6510283
Ergosterol	ipn02.3	NA	TAUC	547.6834793
Ribitol	ipn02.3	NA	TAUC	510.5698295
Andrographolide	ipn02.3	NA	TAUC	587.7513279
Osthol	ipn02.3	NA	TAUC	493.1369396
Solanesol	ipn02.3	NA	TAUC	538.1187794
Tanshinone IIA	ipn02.3	NA	TAUC	579.9315324
Sumatriptan succinate	ipn02.3	NA	TAUC	509.998503
Rizatriptan benzoate	ipn02.3	NA	TAUC	526.0005436
Paeonol	ipn02.3	NA	TAUC	524.1976655
10-hydroxycamptothecin	ipn02.3	NA	TAUC	355.6249192
Parietin	ipn02.3	NA	TAUC	583.8577054
Olanzapine	ipn02.3	NA	TAUC	528.284126
beta-Carotene	ipn02.3	NA	TAUC	507.2029909
8-Cl-Ado	ipn02.3	NA	TAUC	486.1563227
Chenodeoxycholic acid	ipn02.3	NA	TAUC	510.9139742
Phlorizin	ipn02.3	NA	TAUC	487.3277009
Cytidine	ipn02.3	NA	TAUC	488.3785168
beta-Sitosterol	ipn02.3	NA	TAUC	531.2275272
Stigmasterol	ipn02.3	NA	TAUC	550.8921644
Salicin	ipn02.3	NA	TAUC	484.2691082
Epinephrine	ipn02.3	NA	TAUC	524.4563943
Lactulose	ipn02.3	NA	TAUC	519.8106319
Lincomycin  hydrochloride	ipn02.3	NA	TAUC	535.5459496
Sulbactam	ipn02.3	NA	TAUC	534.6547079
Efavirenz	ipn02.3	NA	TAUC	464.6434226
Lamivudine	ipn02.3	NA	TAUC	504.2010296
Terbinafine hydrochloride	ipn02.3	NA	TAUC	517.4692697
Levonorgestrel	ipn02.3	NA	TAUC	497.9758123
Nandrolone phenylpropionate	ipn02.3	NA	TAUC	480.1737344
Betamethasone dipropionate	ipn02.3	NA	TAUC	474.5678243
Docosanol	ipn02.3	NA	TAUC	495.9480663
Noradrenaline bitartrate monohydrate	ipn02.3	NA	TAUC	521.0476758
Tegafur	ipn02.3	NA	TAUC	543.0459575
Tiopronin	ipn02.3	NA	TAUC	492.9208236
L-selenomethionine	ipn02.3	NA	TAUC	514.3167567
Zileuton	ipn02.3	NA	TAUC	548.5092818
Gefitinib	ipn02.3	NA	TAUC	495.8303384
Imatinib	ipn02.3	++	TAUC	447.595531
Mycophenolate mofetil	ipn02.3	NA	TAUC	487.4611621
Indinavir	ipn02.3	NA	TAUC	472.67528
Amprenavir	ipn02.3	NA	TAUC	509.6717515
Hydroxychloroquine sulfate	ipn02.3	NA	TAUC	448.2468409
Chloramphenicol Palmitate	ipn02.3	NA	TAUC	507.3194684
Rimantadine	ipn02.3	NA	TAUC	496.8517867
Rose Bengal disodium	ipn02.3	NA	TAUC	462.1827717
Perindopril	ipn02.3	NA	TAUC	510.5311829
Aripiprazole	ipn02.3	NA	TAUC	537.8234987
Cefprozil	ipn02.3	NA	TAUC	489.4271102
Zopiclone	ipn02.3	NA	TAUC	554.0273701
Rabeprazole	ipn02.3	NA	TAUC	502.5057089
Zoledronic acid monohydrate	ipn02.3	NA	TAUC	538.3924584
S-Trityl-L-cysteine	ipn02.3	NA	TAUC	486.273436
Zaldaride maleate	ipn02.3	NA	TAUC	536.2564569
Eplerenone	ipn02.3	NA	TAUC	504.2243805
RITA	ipn02.3	NA	TAUC	483.8495535
ZM 44739	ipn02.3	NA	TAUC	454.8591063
Hordenine	ipn02.3	NA	TAUC	534.997093
Diosgenin	ipn02.3	NA	TAUC	519.3825017
(+)-Usniacin	ipn02.3	NA	TAUC	496.82884
Sophocarpine	ipn02.3	NA	TAUC	531.9833157
Resistomycin	ipn02.3	NA	TAUC	508.0970691
Auranofin	ipn02.3	NA	TAUC	454.3022288
Auranofin	alt	NA	TAUC	389.9346571
Pravadoline	ipn02.3	NA	TAUC	528.99246
Irsogladine maleate	ipn02.3	NA	TAUC	513.0544355
Nafamostat mesilate	ipn02.3	NA	TAUC	500.5785423
Tetrabenazine	ipn02.3	NA	TAUC	522.9335644
Indibulin	ipn02.3	NA	TAUC	322.871708
Idebenone	ipn02.3	NA	TAUC	489.4394404
Acarbose	ipn02.3	NA	TAUC	496.5552827
Acipimox	ipn02.3	NA	TAUC	542.5540902
Mosapride citrate	ipn02.3	NA	TAUC	463.5808263
Tizanidine hydrochloride	ipn02.3	NA	TAUC	488.8960089
Toremifene	ipn02.3	NA	TAUC	491.4095309
Atorvastatin calcium	ipn02.3	NA	TAUC	490.0650817
Mecarbinate	ipn02.3	NA	TAUC	552.4771903
16,16-dimethyl PGE2	ipn02.3	NA	TAUC	432.1528374
Calcitriol	ipn02.3	NA	TAUC	446.3811513
GW-441756	ipn02.3	NA	TAUC	533.5153679
anagrelide	ipn02.3	NA	TAUC	528.8488779
CCT-018159	ipn02.3	NA	TAUC	434.3672903
Tropisetron	ipn02.3	NA	TAUC	532.6081849
JTC-801	ipn02.3	NA	TAUC	426.825464
Trimetrexate	ipn02.3	NA	TAUC	377.9679179
Troglitazone	ipn02.3	NA	TAUC	480.6653277
Doxycycline	ipn02.3	NA	TAUC	477.0351462
Novobiocin sodium	ipn02.3	NA	TAUC	517.1551045
Artemisinin	ipn02.3	NA	TAUC	487.0029063
Sinomenine	ipn02.3	NA	TAUC	436.7647196
Pepstatin	ipn02.3	NA	TAUC	477.8446402
MG-132	ipn02.3	NA	TAUC	329.0357839
NCGC00161703	ipn02.3	NA	TAUC	386.2674842
GSK-3965	ipn02.3	NA	TAUC	494.997786
Budesonide	ipn02.3	NA	TAUC	485.9835198
Picropodophyllin	alt	NA	TAUC	274.503974
4-Demethylepipodophyllotoxin	ipn02.3	NA	TAUC	268.3102187
H-89	ipn02.3	NA	TAUC	511.1213307
Betamethasone	ipn02.3	NA	TAUC	490.3372459
SD-169	ipn02.3	NA	TAUC	531.6523642
L-tetramisol	ipn02.3	NA	TAUC	516.9248673
MK-886	ipn02.3	NA	TAUC	532.8116281
Valproic acid sodium salt	ipn02.3	NA	TAUC	489.6341164
Thapsigargin	ipn02.3	NA	TAUC	287.1924786
Vancomycin hydrochloride	ipn02.3	NA	TAUC	487.3529796
Olprinone	ipn02.3	NA	TAUC	510.6745762
Bafilomycin A1	ipn02.3	NA	TAUC	214.6440284
Mithramycin	ipn02.3	NA	TAUC	258.1017
Elactocin	ipn02.3	NA	TAUC	511.1514151
Trichostatin A	ipn02.3	NA	TAUC	409.8795621
CITCO	ipn02.3	NA	TAUC	523.9687137
Pregnenolone	ipn02.3	NA	TAUC	529.5883815
Acitretin	ipn02.3	NA	TAUC	473.8414535
Pioglitazone HCl	ipn02.3	NA	TAUC	534.4152272
Niguldipine	ipn02.3	NA	TAUC	552.1389524
Pizotifen	ipn02.3	NA	TAUC	517.1249503
Huperizine A	ipn02.3	NA	TAUC	517.3087797
Suramin sodium	ipn02.3	NA	TAUC	504.4166431
Clopidogrel bisulfate	ipn02.3	NA	TAUC	482.5774691
KN-62	ipn02.3	NA	TAUC	522.8038028
Betulinic acid	ipn02.3	NA	TAUC	509.8581036
Triptolide	ipn02.3	NA	TAUC	63.75247399
Parthenolide	ipn02.3	NA	TAUC	442.4588053
Tanespimycin	ipn02.3	NA	TAUC	411.5106384
CA-074 Me	ipn02.3	NA	TAUC	503.6999932
G?-6976	ipn02.3	NA	TAUC	352.3758763
Mitomycin	ipn02.3	NA	TAUC	526.4729608
FK-506	ipn02.3	NA	TAUC	451.0330756
Cyclopamine	ipn02.3	NA	TAUC	520.5716591
Wortmannin	ipn02.3	NA	TAUC	442.3068096
Shikonin	ipn02.3	NA	TAUC	449.2362036
Cerulenin	ipn02.3	NA	TAUC	482.5705231
G?-6983	ipn02.3	NA	TAUC	415.729423
Octylonium bromide	ipn02.3	NA	TAUC	513.1658779
Aloe-emodin	ipn02.3	NA	TAUC	514.0991348
Daidzin	ipn02.3	NA	TAUC	510.5873823
Hesperetin	ipn02.3	NA	TAUC	513.2234389
Ecdysone	ipn02.3	NA	TAUC	532.2128196
Echinomycin	ipn02.3	NA	TAUC	253.3533738
Evodiamine	ipn02.3	NA	TAUC	539.3621822
Honokiol	ipn02.3	NA	TAUC	457.1042735
Sclareolide	ipn02.3	NA	TAUC	521.431627
Tetrahydropapaverine	ipn02.3	NA	TAUC	504.0843052
Cryptotanshinone	ipn02.3	NA	TAUC	487.66138
Metenkephalin	ipn02.3	NA	TAUC	527.2633591
Vincristine sulfate	ipn02.3	NA	TAUC	203.8302095
3-indolebutyric acid	ipn02.3	NA	TAUC	508.0634199
L-Thyroxine	ipn02.3	NA	TAUC	505.718464
Mannitol	ipn02.3	NA	TAUC	505.9881115
Formestane	ipn02.3	NA	TAUC	534.5981275
Clomifene citrate	ipn02.3	NA	TAUC	479.5071206
Ciprofibrate	ipn02.3	NA	TAUC	502.7374065
Zafirlukast	ipn02.3	NA	TAUC	457.5448471
Dofetilide	ipn02.3	NA	TAUC	502.8456601
Lafutidine	ipn02.3	NA	TAUC	512.630716
Clofarabine	ipn02.3	NA	TAUC	349.2620451
Duloxetine hydrochloride	ipn02.3	NA	TAUC	416.5479796
Zanamivir	ipn02.3	NA	TAUC	506.3744631
Pitavastatin calcium	ipn02.3	NA	TAUC	380.3464127
Capecitabine	ipn02.3	NA	TAUC	515.8522303
Rimonabant	ipn02.3	NA	TAUC	476.462265
Erlotinib hydrochloride	ipn02.3	NA	TAUC	496.1800709
Lopinavir	ipn02.3	NA	TAUC	506.5159075
Malotilate	ipn02.3	NA	TAUC	505.5082797
Drospirenone	ipn02.3	NA	TAUC	485.2868979
Artemether	ipn02.3	NA	TAUC	501.1485923
Loteprednol etabonate	ipn02.3	NA	TAUC	499.6034342
Artesunate (AS)	ipn02.3	NA	TAUC	462.5542769
Liranaftate	ipn02.3	NA	TAUC	517.4657134
Fluvastatin	ipn02.3	NA	TAUC	406.3539858
Epalrestat	ipn02.3	NA	TAUC	519.1388991
Prulifloxacin	ipn02.3	NA	TAUC	516.5872894
Adapalene	ipn02.3	NA	TAUC	461.3867219
Anastrozole	ipn02.3	NA	TAUC	533.847064
Voriconazole	ipn02.3	NA	TAUC	517.6249105
Adefovir dipivoxil	ipn02.3	NA	TAUC	409.9435664
Alibendol	ipn02.3	NA	TAUC	539.788454
Sunitinib malate	ipn02.3	NA	TAUC	357.765243
Balsalazide disodium	ipn02.3	NA	TAUC	475.8522911
Nifekalant	ipn02.3	NA	TAUC	479.699575
Fulvestrant	ipn02.3	NA	TAUC	529.3291169
A 83-01	ipn02.3	NA	TAUC	539.6979144
Plerixafor hydrochloride	ipn02.3	NA	TAUC	514.4139879
AKT inhibitor VIII	ipn02.3	NA	TAUC	469.3189113
Acadesine	ipn02.3	NA	TAUC	538.7898272
Benzapril	ipn02.3	NA	TAUC	461.082454
BMS-345541	ipn02.3	NA	TAUC	450.7323337
339253	ipn02.3	NA	TAUC	355.5139045
Cardiogenol	ipn02.3	NA	TAUC	494.2525269
C-75	ipn02.3	NA	TAUC	473.1880467
GW 4869	ipn02.3	NA	TAUC	501.4752965
Vadimezan	ipn02.3	NA	TAUC	507.7006177
GW-6471	ipn02.3	NA	TAUC	441.2964872
IMD-0354	ipn02.3	NA	TAUC	412.5791415
NSC-724771	ipn02.3	NA	TAUC	436.4994656
KI-16425	ipn02.3	NA	TAUC	467.6945803
Entinostat	ipn02.3	NA	TAUC	439.7617345
NU-6027	ipn02.3	NA	TAUC	444.3123674
PD-173074	ipn02.3	NA	TAUC	401.0479567
Dorsomorphin	ipn02.3	NA	TAUC	430.9037308
PS-1145	ipn02.3	NA	TAUC	517.320308
PB-28	ipn02.3	NA	TAUC	477.8319738
Reversine	ipn02.3	NA	TAUC	462.574139
SB-505124	ipn02.3	NA	TAUC	556.2872992
SD-208	ipn02.3	NA	TAUC	559.1357903
SU-MI-2	ipn02.3	NA	TAUC	501.5319653
TRAM-34	ipn02.3	NA	TAUC	519.6177925
KDS-4103	ipn02.3	NA	TAUC	482.7489815
Vinorelbine	ipn02.3	NA	TAUC	271.1207605
Demecolcine	ipn02.3	NA	TAUC	128.0313667
Arbutin	ipn02.3	NA	TAUC	495.5807107
Decitabine	ipn02.3	NA	TAUC	471.7072335
Estriol	ipn02.3	NA	TAUC	538.1935776
Meglumine	ipn02.3	NA	TAUC	483.1948315
Quinine	ipn02.3	NA	TAUC	502.038935
Sparfloxacin	ipn02.3	NA	TAUC	570.6471559
Marbofloxacin	ipn02.3	NA	TAUC	531.2916962
Trifluridine	ipn02.3	NA	TAUC	480.7488436
Argatroban	ipn02.3	NA	TAUC	486.586635
Aloxistatin	ipn02.3	NA	TAUC	534.8527386
Pluripotin	ipn02.3	NA	TAUC	398.9248685
Temozolomide	ipn02.3	NA	TAUC	533.6026892
Tioconazole	ipn02.3	NA	TAUC	493.6393229
Rifapentine	ipn02.3	NA	TAUC	411.8599815
Rocuronium bromide	ipn02.3	NA	TAUC	521.6070291
Trospium chloride	ipn02.3	NA	TAUC	492.6265259
Pramipexole hydrochloride	ipn02.3	NA	TAUC	500.9555292
Clinofibrate	ipn02.3	NA	TAUC	548.0895176
Lomustine	ipn02.3	NA	TAUC	518.398908
Vecuronium bromide	ipn02.3	NA	TAUC	512.2477735
Amlexanox	ipn02.3	NA	TAUC	490.2916681
Doripenem	ipn02.3	NA	TAUC	525.8047352
(R)-Bicalutamide	ipn02.3	NA	TAUC	423.3185147
Sorafenib	ipn02.3	+	TAUC	479.375517
Lumefantrine	ipn02.3	NA	TAUC	512.6635945
Lenalidomide	ipn02.3	NA	TAUC	582.2319876
Manidipine	ipn02.3	NA	TAUC	519.2892678
Methylene blue	ipn02.3	NA	TAUC	399.0284436
Aclarubicin	ipn02.3	NA	TAUC	457.8131678
Pimecrolimus	ipn02.3	NA	TAUC	464.710106
Lapatinib	ipn02.3	NA	TAUC	359.53252
Vandetanib	ipn02.3	NA	TAUC	420.7447057
Temsirolimus	ipn02.3	NA	TAUC	320.4830537
Ramatroban	ipn02.3	NA	TAUC	498.9721797
Cilomilast	ipn02.3	NA	TAUC	514.0933669
Amorolfine hydrochloride	ipn02.3	NA	TAUC	481.1231701
Tazarotene	ipn02.3	NA	TAUC	477.9045737
Camostat mesylate	ipn02.3	NA	TAUC	472.2506295
Rivastigmine tartrate	ipn02.3	NA	TAUC	530.4916642
Balofloxacin	ipn02.3	NA	TAUC	517.0211646
Vardenafil	ipn02.3	NA	TAUC	482.3105437
Tenofovir	ipn02.3	NA	TAUC	511.4699775
Fleroxacin	ipn02.3	NA	TAUC	511.1444234
Carbazochrome sodium sulfonate	ipn02.3	NA	TAUC	506.8003413
GW-4064X	ipn02.3	NA	TAUC	538.9304441
Costunolide	ipn02.3	NA	TAUC	505.2658624
PNU-120596	ipn02.3	NA	TAUC	524.2119404
SSR-69071	ipn02.3	NA	TAUC	447.3512945
IKK16	ipn02.3	NA	TAUC	455.9934236
KI-8751	ipn02.3	NA	TAUC	420.5527746
TPCA-1	ipn02.3	NA	TAUC	354.9194258
Cetirizine hydrochloride	ipn02.3	NA	TAUC	528.8424767
PAC-1	ipn02.3	NA	TAUC	470.8655992
Oxaliplatin	ipn02.3	NA	TAUC	556.6852544
CL 82198	ipn02.3	NA	TAUC	500.4876611
GSI-9	ipn02.3	NA	TAUC	525.4422938
Ivachtin	ipn02.3	NA	TAUC	476.7110845
GW-9508	ipn02.3	NA	TAUC	500.8233084
SN-38	ipn02.3	NA	TAUC	316.8457984
Carvedilol	ipn02.3	NA	TAUC	536.6139542
Telithromycin	ipn02.3	NA	TAUC	495.8393511
Tiotropium bromide	ipn02.3	NA	TAUC	483.9718195
Bicalutamide	ipn02.3	NA	TAUC	474.4341338
Ceftiofur hydrochloride	ipn02.3	NA	TAUC	492.1662176
Pirarubicin	ipn02.3	NA	TAUC	429.6965935
Dextromethorphan hydrobromide	ipn02.3	NA	TAUC	465.4835694
Vorinostat	ipn02.3	NA	TAUC	438.8057139
AG-14361	ipn02.3	NA	TAUC	463.4178701
Secin H3	ipn02.3	NA	TAUC	522.2190878
Tozasertib	ipn02.3	NA	TAUC	465.5300892
IC-87114	ipn02.3	NA	TAUC	331.7684465
NCGC00168459-01	ipn02.3	NA	TAUC	450.3864291
PTC-124	ipn02.3	NA	TAUC	547.6980679
Darunavir	ipn02.3	NA	TAUC	453.957787
Rasagiline mesilate	ipn02.3	NA	TAUC	510.6560887
Tadalafil	ipn02.3	NA	TAUC	539.8647498
Gemcitabine	ipn02.3	NA	TAUC	445.0086663
Diclazuril	ipn02.3	NA	TAUC	518.3597069
Lupeol	ipn02.3	NA	TAUC	517.9216174
Salidroside	ipn02.3	NA	TAUC	528.7837262
Sesamin	ipn02.3	NA	TAUC	483.5590868
Tetrahydroberberine Canadine	ipn02.3	NA	TAUC	521.2918602
Uridine triacetate	ipn02.3	NA	TAUC	510.5398906
Azelastine hydrochloride	ipn02.3	NA	TAUC	422.3889382
Pefloxacin	ipn02.3	NA	TAUC	500.8841123
Sarafloxacin hydrochloride	ipn02.3	NA	TAUC	502.9243522
Clarithromycin	ipn02.3	NA	TAUC	524.7427959
Ramipril	ipn02.3	NA	TAUC	476.3166718
Thiamphenicol	ipn02.3	NA	TAUC	535.4658126
Limonin	ipn02.3	NA	TAUC	520.0043109
Cefdinir	ipn02.3	NA	TAUC	503.7933376
Bromhexine hydrochloride	ipn02.3	NA	TAUC	486.5353257
Levofloxacin	ipn02.3	NA	TAUC	514.2220527
Valaciclovir	ipn02.3	NA	TAUC	529.895993
Irinotecan	ipn02.3	NA	TAUC	432.2017976
Oseltamivir phosphate	ipn02.3	NA	TAUC	508.7950951
Ramelteon	ipn02.3	NA	TAUC	494.6365256
Sitagliptin	ipn02.3	NA	TAUC	531.1859762
Sodium cloxacillin	ipn02.3	NA	TAUC	517.5717626
Tobramycin	ipn02.3	NA	TAUC	555.0387108
Tripterin	ipn02.3	NA	TAUC	393.7970781
Pentamidine isethionate	ipn02.3	NA	TAUC	501.6208561
Dorzolamide hydrochloride	ipn02.3	NA	TAUC	506.0737197
Halofantrine	ipn02.3	NA	TAUC	491.1274777
Indirubin	ipn02.3	NA	TAUC	414.5873814
Fluticasone propionate	ipn02.3	NA	TAUC	433.6581342
Ondansetron hydrochloride	ipn02.3	NA	TAUC	533.2697499
Ursodiol	ipn02.3	NA	TAUC	519.4015576
Ifomide	ipn02.3	NA	TAUC	528.6663366
Monensin sodium salt	ipn02.3	NA	TAUC	444.0343508
Aurantiamarin	ipn02.3	NA	TAUC	507.7451201
Aurantiamarin	alt	NA	TAUC	467.9087474
Etoposide	ipn02.3	NA	TAUC	428.2557005
Racecadotril	ipn02.3	NA	TAUC	454.6216027
Mometasone furoate	ipn02.3	NA	TAUC	393.1314823
Butoconazole nitrate	ipn02.3	NA	TAUC	494.5940014
Isoconazole nitrate	ipn02.3	NA	TAUC	491.5339089
Prednisolone	ipn02.3	NA	TAUC	488.4439693
Idoxuridine	ipn02.3	NA	TAUC	509.4897576
Suplatast tosilate	ipn02.3	NA	TAUC	502.4369288
Cinacalcet	ipn02.3	NA	TAUC	526.688225
Gimeracil	ipn02.3	NA	TAUC	512.3718551
Mizolastine	ipn02.3	NA	TAUC	478.4481059
Bexarotene	ipn02.3	NA	TAUC	463.0409217
Taltirelin	ipn02.3	NA	TAUC	517.5115353
Nelarabine	ipn02.3	NA	TAUC	516.7924116
Tamibarotene	ipn02.3	NA	TAUC	481.455944
Dasatinib	ipn02.3	NA	TAUC	317.275236
Epothilone B	ipn02.3	NA	TAUC	116.6056409
Nedaplatin	ipn02.3	NA	TAUC	546.2213634
Mesna	ipn02.3	NA	TAUC	500.1117945
Bendamustine	ipn02.3	NA	TAUC	568.6863207
Seratrodast	ipn02.3	NA	TAUC	486.0075003
Neomycin sulfate	ipn02.3	NA	TAUC	544.1251317
Imexon	ipn02.3	NA	TAUC	545.6925899
Docetaxel	ipn02.3	NA	TAUC	158.2297119
2-Fluoroadenosine	ipn02.3	NA	TAUC	301.4452347
Ivabradine hydrochloride	ipn02.3	NA	TAUC	530.8258528
Temocapril hydrochloride	ipn02.3	NA	TAUC	489.4293336
Ranelic acid distrontium salt	ipn02.3	NA	TAUC	480.5663828
Vatalanib	ipn02.3	NA	TAUC	493.8795447
Deferasirox	ipn02.3	NA	TAUC	524.2659246
Pranlukast hydrate	ipn02.3	NA	TAUC	501.0150749
Tolcapone	ipn02.3	NA	TAUC	507.7809248
Ibutilide fumarate	ipn02.3	NA	TAUC	507.6928619
Aprepitant	ipn02.3	NA	TAUC	513.2247988
Naratriptan hydrochloride	ipn02.3	NA	TAUC	404.9433139
Octreotide	ipn02.3	NA	TAUC	490.2798242
Alacepril	ipn02.3	NA	TAUC	547.2874583
Pentostatin	ipn02.3	NA	TAUC	539.0696353
Fludarabine phosphate	ipn02.3	NA	TAUC	299.4509589
R406	ipn02.3	NA	TAUC	475.7973682
SRT1720	ipn02.3	NA	TAUC	452.0573593
Bazedoxifene	ipn02.3	NA	TAUC	531.0495733
Doxercalciferol	ipn02.3	NA	TAUC	438.7954645
Febuxostat	ipn02.3	NA	TAUC	519.2678484
Roxithromycin	ipn02.3	NA	TAUC	503.5837837
Clorsulon	ipn02.3	NA	TAUC	519.770534
Vicriviroc	ipn02.3	NA	TAUC	481.6061617
Atazanavir sulfate	ipn02.3	NA	TAUC	507.2304998
Latrepirdine hydrochloride	ipn02.3	NA	TAUC	482.8953587
Canertinib	ipn02.3	NA	TAUC	513.201892
Meprednisone	ipn02.3	NA	TAUC	493.6776318
Daporinad	ipn02.3	NA	TAUC	307.2550164
Biperiden	ipn02.3	NA	TAUC	484.4941126
Tolvaptan	ipn02.3	NA	TAUC	473.6750426
Cephradine	ipn02.3	NA	TAUC	510.7697592
Nystatin	ipn02.3	NA	TAUC	525.0282203
Minocycline	ipn02.3	NA	TAUC	553.9442589
Tigecycline	ipn02.3	NA	TAUC	536.4874002
Lubiprostone	ipn02.3	NA	TAUC	415.5657013
Maraviroc	ipn02.3	NA	TAUC	513.6209964
Glycyrrhizic acid	ipn02.3	NA	TAUC	491.4433442
Ritonavir	ipn02.3	NA	TAUC	490.9718526
Nilotinib	ipn02.3	NA	TAUC	441.8208309
Oxacillin sodium	ipn02.3	NA	TAUC	521.0097187
Pentagastrin	ipn02.3	NA	TAUC	403.5489416
NCGC00183434-01	ipn02.3	NA	TAUC	590.4917076
Hypothemycin	ipn02.3	NA	TAUC	411.2374248
VX-765	ipn02.3	NA	TAUC	472.11987
NCGC00183808-01	ipn02.3	NA	TAUC	523.4959563
Monatepil	ipn02.3	NA	TAUC	509.5651611
Sitafloxacin hydrate	ipn02.3	NA	TAUC	594.2550553
Troxacitabine	ipn02.3	NA	TAUC	554.4570855
Aloin	ipn02.3	NA	TAUC	515.0880372
Granisetron hydrochloride	ipn02.3	NA	TAUC	538.4798997
Nebivolol	ipn02.3	NA	TAUC	499.5831085
Tenofovir Disoproxil Fumarate	ipn02.3	NA	TAUC	478.4341056
Zaltoprofen	ipn02.3	NA	TAUC	522.0373408
Moxifloxacin hydrochloride	ipn02.3	NA	TAUC	529.5630404
FR-180204	ipn02.3	NA	TAUC	465.4274976
Cidofovir	ipn02.3	NA	TAUC	598.4529742
Raltegravir	ipn02.3	NA	TAUC	551.8257848
Afatinib	ipn02.3	NA	TAUC	457.7705929
NCGC00185053	ipn02.3	NA	TAUC	526.4214444
Calcium folinate	ipn02.3	NA	TAUC	491.2028023
NCGC00185090-04	ipn02.3	NA	TAUC	483.6632379
Posaconazole	ipn02.3	NA	TAUC	507.4713038
Nepafenac	ipn02.3	NA	TAUC	548.5021982
Estramustine	ipn02.3	NA	TAUC	533.3915393
Vindesine sulfate	ipn02.3	NA	TAUC	262.851175
Clindamycin palmitate	ipn02.3	NA	TAUC	545.4820181
Erdosteine	ipn02.3	NA	TAUC	498.9895408
Nitisinone	ipn02.3	NA	TAUC	522.9961628
BIX-01294	ipn02.3	NA	TAUC	393.0136339
NCGC00185916	ipn02.3	NA	TAUC	525.7511571
Ketorolac	ipn02.3	NA	TAUC	492.1346616
10058-F4	ipn02.3	NA	TAUC	509.0955411
AS-252424	ipn02.3	NA	TAUC	501.7157639
Nefiracetam	ipn02.3	NA	TAUC	514.4101683
AS-604850	ipn02.3	NA	TAUC	535.0960283
Genipin	ipn02.3	NA	TAUC	480.2869579
Esomeprazole magnesium	ipn02.3	NA	TAUC	484.7446914
SB-525334	ipn02.3	NA	TAUC	542.3700135
Levetiracetam	ipn02.3	NA	TAUC	530.6915854
AS-605240	ipn02.3	NA	TAUC	535.6220615
NCGC00186035-01	ipn02.3	NA	TAUC	488.4896796
Ibandronate sodium hydrate	ipn02.3	NA	TAUC	508.3374436
Caroverine hydrochloride	ipn02.3	NA	TAUC	487.8755561
